year,GEOID,NAME,B25001_001E,B25002_003E,B25032_001E,B25032_013E,B25008_003E,B25119_003E,B25037_003E,B25039_003E,B25064_001E,B25071_001E,B25013_011E,B25003H_003E,B25003B_003E,B25003D_003E,B25003I_003E,B17017_001E,B17017_002E
2013,36005003800,"Census Tract 38, Bronx County, New York",441,44,397,243,846,16616,1963,1999,853,39.9,8,9,106,0,128,397,148
2014,36005003800,"Census Tract 38, Bronx County, New York",427,58,369,229,756,21292,1965,2001,1056,38.6,18,9,130,0,90,369,107
2015,36005003800,"Census Tract 38, Bronx County, New York",433,63,370,221,612,NA,1964,1998,873,34.9,29,9,134,0,78,370,114
2016,36005003800,"Census Tract 38, Bronx County, New York",433,49,384,283,802,15865,1971,2000,911,33.3,24,6,143,0,134,384,149
2017,36005003800,"Census Tract 38, Bronx County, New York",445,39,406,294,886,26607,1973,2002,1019,30.6,25,6,131,0,157,406,113
2018,36005003800,"Census Tract 38, Bronx County, New York",440,29,411,284,861,34000,1975,2004,1029,28.9,25,0,123,0,161,411,104
2019,36005003800,"Census Tract 38, Bronx County, New York",446,31,415,271,804,28563,1976,2006,990,30.6,22,0,83,0,195,415,110
2020,36005003800,"Census Tract 38, Bronx County, New York",359,26,333,188,593,NA,1976,2009,1114,28.8,16,0,43,0,154,333,87
2012,36005003900,"Census Tract 39, Bronx County, New York",2278,322,1956,1784,6153,22012,1970,2004,894,34.8,156,0,414,78,1369,1956,833
2013,36005003900,"Census Tract 39, Bronx County, New York",2205,311,1894,1765,5622,24546,1963,2004,892,33.9,206,0,454,24,1357,1894,699
2014,36005003900,"Census Tract 39, Bronx County, New York",2228,283,1945,1801,6187,25510,1955,2006,930,35.4,214,0,392,25,1429,1945,679
2015,36005003900,"Census Tract 39, Bronx County, New York",2250,348,1902,1791,6336,NA,1944,2008,954,38,160,0,385,0,1459,1902,666
2016,36005003900,"Census Tract 39, Bronx County, New York",2251,338,1913,1808,6237,26763,1940,2008,1067,39.1,148,36,314,0,1470,1913,644
2017,36005003900,"Census Tract 39, Bronx County, New York",2264,278,1986,1881,6209,28532,1941,2010,1149,37.6,188,94,392,0,1422,1986,651
2018,36005003900,"Census Tract 39, Bronx County, New York",2300,253,2047,1930,6378,24068,1954,2010,1175,40.5,94,63,389,0,1506,2047,798
2019,36005003900,"Census Tract 39, Bronx County, New York",2340,236,2104,1987,5896,22430,1947,2010,1278,40.4,332,80,374,0,1580,2104,831
2020,36005003900,"Census Tract 39, Bronx County, New York",2430,189,2241,2188,6460,20843,1948,2011,1204,34.3,423,67,394,0,1770,2241,1107
2012,36005004001,"Census Tract 40.01, Bronx County, New York",577,74,503,241,660,44135,1951,2003,991,32.9,30,26,48,49,98,503,56
2013,36005004001,"Census Tract 40.01, Bronx County, New York",564,74,490,250,813,42857,1955,2006,965,33.1,33,30,42,49,111,490,77
2014,36005004001,"Census Tract 40.01, Bronx County, New York",565,62,503,255,829,36513,1957,2005,970,33.3,34,52,42,46,97,503,72
2015,36005004001,"Census Tract 40.01, Bronx County, New York",549,59,490,254,804,44868,1959,2001,959,33.4,38,36,30,54,137,490,58
2016,36005004001,"Census Tract 40.01, Bronx County, New York",547,41,506,253,760,47878,1959,2003,1057,33.9,46,44,33,36,159,506,71
2017,36005004001,"Census Tract 40.01, Bronx County, New York",559,65,494,236,635,29056,1962,2005,1095,41.9,21,32,36,17,170,494,71
2018,36005004001,"Census Tract 40.01, Bronx County, New York",552,68,484,215,604,30982,1963,2006,1161,37.1,16,35,41,4,153,484,77
2019,36005004001,"Census Tract 40.01, Bronx County, New York",551,53,498,257,682,50450,1960,2010,1244,35.1,41,20,72,6,168,498,72
2020,36005004001,"Census Tract 40.01, Bronx County, New York",535,46,489,288,754,55000,1960,2011,1264,27.7,63,20,65,13,188,489,69
2012,36005004100,"Census Tract 41, Bronx County, New York",2181,203,1978,1898,5831,17902,1965,2000,514,29.7,164,0,763,21,1369,1978,862
2013,36005004100,"Census Tract 41, Bronx County, New York",2189,164,2025,1866,5439,16649,1964,2000,574,31.7,172,0,671,14,1458,2025,915
2014,36005004100,"Census Tract 41, Bronx County, New York",2145,127,2018,1865,5745,17457,1960,2001,601,32.6,167,0,613,12,1416,2018,954
2015,36005004100,"Census Tract 41, Bronx County, New York",2184,69,2115,1949,5901,17314,1957,2002,576,33.6,123,0,570,11,1529,2115,1038
2016,36005004100,"Census Tract 41, Bronx County, New York",2186,132,2054,1896,5675,17088,1958,2003,538,32.2,104,1,471,12,1542,2054,953
2017,36005004100,"Census Tract 41, Bronx County, New York",2199,169,2030,1871,5405,18087,1957,2005,548,30.4,85,29,440,19,1453,2030,994
2018,36005004100,"Census Tract 41, Bronx County, New York",2234,178,2056,1951,5110,17921,1958,2008,653,32.3,71,24,526,17,1501,2056,1045
2019,36005004100,"Census Tract 41, Bronx County, New York",2293,105,2188,1914,4913,17593,1961,2010,707,36.5,94,24,621,0,1446,2188,978
2020,36005004100,"Census Tract 41, Bronx County, New York",2420,166,2254,1977,4689,17514,1963,2012,659,31.9,109,51,799,0,1259,2254,1011
2012,36005004200,"Census Tract 42, Bronx County, New York",2810,112,2698,2504,6313,24637,1961,1999,609,26.4,414,11,1160,0,1402,2698,676
2013,36005004200,"Census Tract 42, Bronx County, New York",2797,95,2702,2504,6885,25990,1963,1999,709,25.7,447,18,1180,19,1395,2702,784
2014,36005004200,"Census Tract 42, Bronx County, New York",2796,77,2719,2518,7086,20816,1964,2000,737,28.6,257,31,1378,16,1248,2719,885
2015,36005004200,"Census Tract 42, Bronx County, New York",2810,98,2712,2510,6557,24475,1963,2001,795,27.3,261,28,1368,32,1197,2712,816
2016,36005004200,"Census Tract 42, Bronx County, New York",2792,44,2748,2476,7091,21402,1963,2001,815,28.2,288,50,1335,35,1204,2748,1024
2017,36005004200,"Census Tract 42, Bronx County, New York",2780,73,2707,2390,7045,28194,1962,2001,888,29.1,308,47,1279,36,1118,2707,868
2018,36005004200,"Census Tract 42, Bronx County, New York",2804,68,2736,2410,6491,29747,1960,2003,948,29.8,303,41,1190,17,1256,2736,859
2019,36005004200,"Census Tract 42, Bronx County, New York",2792,66,2726,2368,6921,33945,1959,2004,1055,28.4,420,64,1020,14,1359,2726,734
2020,36005004200,"Census Tract 42, Bronx County, New York",2899,24,2875,2439,6853,53986,1958,2006,1140,24.7,735,47,1234,0,1476,2875,693
2012,36005004300,"Census Tract 43, Bronx County, New York",1938,212,1726,1542,4526,19540,1967,2002,709,31.9,193,7,537,0,1200,1726,762
2013,36005004300,"Census Tract 43, Bronx County, New York",2005,196,1809,1611,4741,19934,1961,2003,675,33.4,148,6,556,0,1243,1809,786
2014,36005004300,"Census Tract 43, Bronx County, New York",2063,140,1923,1745,5240,20638,1953,2007,766,35.7,181,7,477,0,1359,1923,858
2015,36005004300,"Census Tract 43, Bronx County, New York",2153,91,2062,1856,5287,19872,1953,2008,780,36,153,7,487,0,1416,2062,948
