address,county_fips,boroid,censustract,census_tract,geoid,geoid_nyp
1700 BEDFORD AVENUE,047,3,NA,032500,36047032500,NA
568 BARBADOES DRIVE,NA,4,954,NA,36081095400,36081095400
500 EAST 165TH ST,005,2,185,018500,36005018500,NA
507 EAST 161ST ST,005,2,141,014100,36005014100,36005014100
6163 W 108TH ST,NA,1,193,NA,36061019300,36061019300
170 VERMILYEA AVE,061,1,293,029300,36061029300,36061029300
15723 96TH STREET,081,4,884,088400,36081088400,36081088400
2325 ARTHUR AVENUE,005,2,391,039100,36005039100,36005039100
6153 56TH STREET,081,4,595,059500,36081059500,NA
4802 43RD STREET,081,4,18501,018501,36081018501,NA
245 MULBERRY STREET,061,1,43,004300,36061004300,36061004300
2254 CROTONA AVENUE,005,2,393,039300,36005039300,36005039300
300 EAST 34TH STREET,061,1,70,007000,36061007000,NA
1171 FOREST AVENUE,005,2,135,013500,36005013500,36005013500
105 4TH AVENUE,047,3,12901,012901,36047012901,NA
300 STONE AVE,047,3,906,090600,36047090600,36047090600
490A JEFFERSON AVE,047,3,275,027500,36047027500,36047027500
717 NEW JERSEY AVE,047,3,1128,112800,36047112800,36047112800
3706 104TH ST,081,4,405,040500,36081040500,NA
2645 MORRIS AVENUE,005,2,401,040100,36005040100,36005040100
1284 HERKIMER STREET ROOM #3,047,3,NA,030100,36047030100,NA
750 GRAND CONCOURSE,005,2,5902,005902,36005005902,NA
2771 BAINBRIDGE AVE,005,2,40501,040501,36005040501,NA
40 MADISON STREET,061,1,25,002500,36061002500,36061002500
164 LEXINGTON AVENUE,061,1,72,007200,36061007200,36061007200
980 EAST 32ND STREET,047,3,742,074200,36047074200,36047074200
8015 41ST AVENUE,081,4,26901,026901,36081026901,NA
3208 UNION ST,081,4,88901,088901,36081088901,NA
97 CROOKE AVENUE,047,3,50804,050804,36047050804,NA
3555 73RD STREET,081,4,289,028900,36081028900,36081028900
3631 EASTCHESTER ROAD,005,2,386,038600,36005038600,36005038600
351 LEGION STREET,047,3,894,089400,36047089400,36047089400
450 W 42ND STREET,061,1,115,011500,36061011500,36061011500
360 WEST 55TH STREET,061,1,139,013900,36061013900,36061013900
2102 MADISON AVE,061,1,210,021000,36061021000,36061021000
2185 FIRST AVENUE,061,1,180,018000,36061018000,36061018000
15926 HARLEM RIVER DRIVE,061,1,24302,024302,36061024302,NA
60 WEST 142ND STREET,061,1,214,021400,36061021400,36061021400
1791 WALTON AVENUE,005,2,22701,022701,36005022701,NA
680 ST NICHOALS AVE,061,1,NA,022700,36061022700,NA
17525 138TH AVE,081,4,33402,033402,36081033402,NA
898 LONGWOOD AVENUE,005,2,85,008500,36005008500,36005008500
545547 ST PAULS PLACE,NA,2,169,NA,36005016900,36005016900
409 EAST 21ST STREET,047,3,514,051400,36047051400,36047051400
854 GREENE AVENUE,047,3,291,029100,36047029100,36047029100
509 PARK PLACE APT 4,047,3,305,030500,36047030500,36047030500
2284 GRAND AVENUE,005,2,253,025300,36005025300,36005025300
774 EAST 225TH STREET,005,2,406,040600,36005040600,36005040600
3143 41 STREET,081,4,155,015500,36081015500,36081015500
1507 METROPOLITAN AVENUE,005,2,21001,021001,36005021001,NA
159 BAY 29TH STREET,047,3,292,029200,36047029200,36047029200
114 EAST 168 STREET,005,2,197,019700,36005019700,36005019700
1000 GRAND CONCOURSE,005,2,18301,018301,36005018301,NA
1803 MAHAN AVENUE,005,2,26602,026602,36005026602,NA
664 ONDERDONK AVENUE,081,4,547,054700,36081054700,36081054700
1415 ROWLAND ST,005,2,202,020200,36005020200,36005020200
58 EAST 132ND STREET,061,1,206,020600,36061020600,36061020600
887 CROTONA PARK NOR TH,005,2,NA,036700,36005036700,NA
137 LIBERTY AVENUE 2ND FLOOR,047,3,908,090800,36047090800,36047090800
4004 CARPENTER AVENUE,005,2,408,040800,36005040800,36005040800
180 BETHEL LOOP,047,3,105801,105801,36047105801,NA
14555 181 ST APT 1 1ST FL,081,4,NA,032000,36081032000,NA
651 EAST 236TH STREET,005,2,418,041800,36005041800,36005041800
5422 KINGS HIGHWAY,047,3,846,084600,36047084600,36047084600
941 LEGGETT AVENUE,005,2,85,008500,36005008500,36005008500
3714 74TH STREET,081,4,289,028900,36081028900,36081028900
707 ST NICHOLAS AVE,061,1,231,023100,36061023100,36061023100
783 MONROE STREET,047,3,385,038500,36047038500,36047038500
4538 BELL BLVD GRND FL REAR,081,4,NA,144700,36081144700,NA
10216 FARRAGUT ROAD,047,3,974,097400,36047097400,36047097400
1809 THIRD AVENUE,061,1,164,016400,36061016400,36061016400
1935 BERGEN STREET,047,3,303,030300,36047030300,36047030300
14009 SPRINGFIELD BLVD,081,4,328,032800,36081032800,36081032800
1585 WHITE PLAINS RO AD,005,2,21601,021601,36005021601,NA
2739A KINGSBRIDGE TE RRACE,005,2,NA,027300,36005027300,NA
3632 EASTCHESTER AVENUE,005,2,NA,038600,36005038600,NA
260 PARKHILL AVE,085,5,40,004000,36085004000,NA
433 EAST 35TH STREET,047,3,854,085400,36047085400,36047085400
14639 220TH STREET BACK LEFT ROOM IN 2ND FLOOR APARTMENT,081,4,NA,069000,36081069000,NA
364 EAST 170TH STREET,005,2,17702,017702,36005017702,NA
25 TENNIS COURT,047,3,51002,051002,36047051002,NA
431 AVENUE P,047,3,438,043800,36047043800,36047043800
402 EAST 162 ST A/K/ A 900 MELROSE AVE,005,2,141,014100,36005014100,36005014100
785 WILLIAMS AVENUE BASEMENT,047,3,NA,109800,36047109800,NA
518 BAINBRIDGE STREET,047,3,373,037300,36047037300,36047037300
9405 35TH AVENUE,081,4,273,027300,36081027300,NA
610 WEST 174TH STREET,061,1,263,026300,36061026300,36061026300
1018 GREENE AVENUE,047,3,387,038700,36047038700,36047038700
1170 NAMEOKE STREET,081,4,103202,103202,36081103202,NA
2675 VALENTINE AVE,005,2,40302,040302,36005040302,NA
450 CITY ISLAND AVENUE,005,2,516,051600,36005051600,NA
710 TINTON AVENUE,005,2,79,007900,36005007900,36005007900
1091 PROSPECT AVENUE,005,2,131,013100,36005013100,36005013100
2118 21ST ROAD,081,4,103,010300,36081010300,36081010300
5812 AVENUE O BASEMENT APT,047,3,NA,068800,36047068800,NA
54 WEST 105TH STREET ROOM 13,061,1,NA,018900,36061018900,NA
11604 109 AVENUE,081,4,102,010200,36081010200,36081010200
269 AVENUE O,047,3,440,044000,36047044000,36047044000
3970 3RD AVENUE #N1102,005,2,167,016700,36005016700,36005016700
871 47TH STREET,047,3,94,009400,36047009400,NA
212 BROADWAY TERRACE,NA,1,283,NA,36061028300,36061028300
166 WEST 120TH ST,061,1,220,022000,36061022000,36061022000
504 BROOK AVENUE,005,2,43,004300,36005004300,36005004300
320 LINDEN BLVD,047,3,818,081800,36047081800,36047081800
210P WEST 153RD STREET,061,1,236,023600,36061023600,36061023600
65 EAST 112TH STREET,061,1,184,018400,36061018400,36061018400
1381 MYRTLE AVENUE,047,3,431,043100,36047043100,36047043100
3127 THOMSON AVENUE,081,4,179,017900,36081017900,NA
303 VERNON AVENUE,047,3,283,028300,36047028300,36047028300
147 TENNYSON DRIVE FRONT ENTRANCE,085,5,NA,015603,36085015603,NA
151 NORFOLK STREET,061,1,3001,003001,36061003001,NA
2001 GRAND CONCOURSE,005,2,23501,023501,36005023501,NA
94555 UNDERHILL AVENUE,NA,2,42,NA,36005004200,36005004200
837 EAST 221ST ST,005,2,396,039600,36005039600,36005039600
1353 UNION STREET ENTIRE HOUSE,047,3,NA,033700,36047033700,NA
543 OCEAN AVENUE,047,3,51002,051002,36047051002,NA
2294 UNIVERSITY AVE,005,2,253,025300,36005025300,36005025300
557 46TH STREET,047,3,96,009600,36047009600,36047009600
1755 WEEKS AVENUE,005,2,22901,022901,36005022901,NA
364 EAST 10TH STREET,061,1,28,002800,36061002800,36061002800
469 WEST 166TH STREET,061,1,249,024900,36061024900,36061024900
2439 JEROME AVENUE,005,2,253,025300,36005025300,36005025300
45 WEST 132ND ST,061,1,212,021200,36061021200,36061021200
255 WEST 43RD STREET,061,1,119,011900,36061011900,36061011900
20 W MOSHOLU PKWY S,005,2,409,040900,36005040900,36005040900
3333 BDWAYBLDG A,NA,1,NA,NA,NA,NA
2255 MORRIS AVENUE,005,2,239,023900,36005023900,36005023900
2235 FIFTH AVENUE,061,1,210,021000,36061021000,36061021000
2264 CRESTON AVENUE,005,2,23704,023704,36005023704,NA
2175 CEDAR AVENUE,005,2,257,025700,36005025700,36005025700
1722 EAST 51ST ST,047,3,682,068200,36047068200,36047068200
17210 JAMAICA AVE,081,4,444,044400,36081044400,36081044400
250 MOORE STREET,047,3,485,048500,36047048500,36047048500
3204 HOLLAND AVE,005,2,372,037200,36005037200,36005037200
1205 LEXINGTON AVE,061,1,140,014000,36061014000,36061014000
105115 BENNETT AVE,NA,1,271,NA,36061027100,36061027100
60 WATER STREET,047,3,21,002100,36047002100,36047002100
4014 12TH STREET,081,4,25,002500,36081002500,36081002500
1145 MORRISON AVENUE,005,2,48,004800,36005004800,36005004800
50 FOUNTAIN AVENUE,047,3,1192,119200,36047119200,36047119200
23 JACKSON STREET,085,5,21,002100,36085002100,36085002100
701 EAST 175TH STREET,005,2,36902,036902,36005036902,NA
455 OCEAN PARKWAY,047,3,490,049000,36047049000,36047049000
1125 SHERIDAN AVE,005,2,18102,018102,36005018102,NA
555 WEST 159TH ST,061,1,245,024500,36061024500,36061024500
9015 QUEENS BOULEVARD,081,4,683,068300,36081068300,36081068300
661 WEST 180TH STREET,061,1,271,027100,36061027100,36061027100
8907 169TH ST,081,4,460,046000,36081046000,36081046000
695711 WALTON AVE,NA,2,63,NA,NA,NA
614 BAKER AVENUE,005,2,240,024000,36005024000,36005024000
571 RIVERSIDE DRIVE,061,1,22302,021100,36061021100,NA
3990 BRONX BLVD,005,2,408,040800,36005040800,36005040800
988 CLEVELAND STREET ENTIRE HOUSE,047,3,NA,111600,36047111600,NA
687689 EAST 137TH STREET,NA,2,2702,NA,NA,NA
518 RIGA STREET FRONT ENTRANCE,085,5,NA,012805,36085012805,NA
1065 57TH STREET,047,3,216,021600,36047021600,36047021600
16119 NORMAL ROAD,081,4,448,044800,36081044800,36081044800
19304 HORACE HARDIN G EXPWY,081,4,NA,134700,36081134700,NA
300 SULLIVAN PLACE,047,3,321,032100,36047032100,36047032100
787 HEWITT PLACE,005,2,85,008500,36005008500,36005008500
16 WESTCHESTER SQUARE,005,2,200,020000,36005020000,36005020000
1581 PRESIDENT ST,047,3,353,035300,36047035300,NA
212 BEACH 26TH ST,081,4,99802,099802,36081099802,NA
3472 KNOX PLACE,005,2,421,042100,36005042100,36005042100
1839 SEDGWICK AVENUE,005,2,247,024700,36005024700,36005024700
157 STUYVESANT AVE,047,3,291,029100,36047029100,36047029100
773 FLATBUSH AVENUE,NA,3,NA,NA,NA,NA
10129 106TH STREET,081,4,110,011000,36081011000,36081011000
21032121 GRAND CONCOURSE,NA,2,NA,NA,NA,NA
373 92ND STREET,047,3,58,005800,36047005800,36047005800
14469 177 PLACE,NA,4,306,NA,36081030600,36081030600
620 EAST 178TH ST,005,2,373,037300,36005037300,36005037300
870 SOUTHERN BLVD,005,2,89,008900,36005008900,36005008900
143 EAST 59TH STREET,047,3,936,093600,36047093600,36047093600
3273 PARKSIDE PL,005,2,42901,042901,36005042901,NA
273234 BAINBRIDGE AVENUE,NA,2,40502,NA,NA,NA
2261 JEROME AVEAKA 22612269 JEROME,005,2,239,023900,36005023900,36005023900
2137 PITKIN AVENUE 2A,047,3,1144,114400,36047114400,36047114400
453 BEACH 40TH ST,NA,4,97203,NA,NA,NA
426 MOTHER GASTON BLVD,047,3,906,090600,36047090600,36047090600
3111 WILLOW LANE,NA,2,300,NA,36005030000,36005030000
3433 DEKALB AVENUE,005,2,421,042100,36005042100,36005042100
1566 MACOMBS ROAD,005,2,209,020900,36005020900,36005020900
6112 167TH ST,081,4,1223,122300,36081122300,36081122300
74 CHRISTOPHER ST GROUND LEVELSIDE EN,085,5,NA,031902,36085031902,NA
9 WEST 31ST STREET,061,1,76,007600,36061007600,36061007600
227 BAINBRIDGE ST,047,3,381,038100,36047038100,36047038100
2809 BERKER AVENUE,005,2,NA,033600,36005033600,NA
529 W 151ST ST,061,1,237,023700,36061023700,36061023700
730 ROGERS AVENUE,047,3,822,082200,36047082200,36047082200
203 WEST 133RD STREET,061,1,226,022600,36061022600,36061022600
775 LYDIG AVEA/K/A 2150 WALLACE STR77,NA,2,228,NA,36005022800,36005022800
181 ST NICHOLAS AVE,047,3,443,044300,36047044300,36047044300
540 EAST 183RD STREET,005,2,385,038500,36005038500,36005038500
1089 GRANT AVENUE,047,3,1220,122000,36047122000,36047122000
2440 OLINVILLE AVENUE,005,2,33202,033202,36005033202,NA
1084 NEW YORK AVENUE,047,3,826,082600,36047082600,36047082600
140 BRADHURST AVENUE,061,1,259,025900,36061025900,36061025900
1512 TOWNSEND AVENUE,005,2,209,020900,36005020900,36005020900
6942 DECOSTA AVE,081,4,954,095400,36081095400,36081095400
332 TROY AVENUE,047,3,335,033500,36047033500,36047033500
3121 VILLA AVENUE,005,2,411,041100,36005041100,36005041100
120 ALDRICH ST,005,2,46201,046201,36005046201,NA
325 BRISTOL STREET,047,3,924,092400,36047092400,36047092400
321 WOODBINE STREET,047,3,435,043500,36047043500,36047043500
1443 TAYLOR AVENUE,005,2,218,021800,36005021800,36005021800
3400 SNYDER AVE,047,3,856,085600,36047085600,36047085600
2240 RYER AVE,005,2,38301,038301,36005038301,NA
375 PULASKI STREET,047,3,287,028700,36047028700,36047028700
1779 74TH STREET,047,3,264,026400,36047026400,36047026400
7314 21ST AVE,047,3,268,026800,36047026800,36047026800
720 WEST 181ST ST,061,1,265,026500,36061026500,36061026500
584 CRESCENT STREET,047,3,1196,119600,36047119600,36047119600
1401 NEW YORK AVE,047,3,782,078200,36047078200,36047078200
136 SHEPHERD AVENUE,047,3,117202,117202,36047117202,NA
800 ST ANNS AVENUE,005,2,75,007500,36005007500,36005007500
812 EAST 227TH STREET,005,2,406,040600,36005040600,36005040600
12315 18 AVE,NA,4,925,NA,36081092500,36081092500
533 OCEAN AVENUE,047,3,51002,051002,36047051002,NA
80 EAST 110TH ST,061,1,17401,017401,36061017401,NA
7210 41ST AVENUE,081,4,265,026500,36081026500,NA
325 EAST 106TH ST,061,1,170,017000,36061017000,36061017000
1427 FLATBUSH AVE,047,3,786,078600,36047078600,NA
197 ST MARKS AVENUE,047,3,163,016300,36047016300,36047016300
1953 80TH STREET,081,4,317,031700,36081031700,36081031700
20 WEST 115TH ST,061,1,186,018600,36061018600,36061018600
7608 UTOPIA PARKWAY,081,4,1247,124700,36081124700,36081124700
1478 WALTON AVENUE,005,2,223,022300,36005022300,36005022300
315 E 72ND STREET,061,1,126,012600,36061012600,NA
664 EAST 223 STREET,005,2,394,039400,36005039400,36005039400
10445 ATLANTIC AVEENTIRE HOUSE,081,4,NA,012602,36081012602,NA
5804 FARRAGUT ROAD,047,3,94402,094402,36047094402,NA
180 SCHOLES STREET,047,3,493,049300,36047049300,NA
61 ALASKA STREET MAIN BEDROOM OFF TH,085,5,NA,013302,36085013302,NA
2225 BENSON AVENUE,047,3,296,029600,36047029600,36047029600
99 VANDALIA AVENUE,047,3,105804,105804,36047105804,NA
7035 BROADWAY,081,4,291,029100,36081029100,36081029100
9 GRANT AVE,047,3,118202,118202,36047118202,NA
1225 50TH STREET,047,3,220,022000,36047022000,36047022000
2265 OLINVILLE AVENUE,005,2,33201,033201,36005033201,NA
2065 FIRST AVENUE,061,1,170,017000,36061017000,36061017000
44 ABERDEEN STREET,047,3,405,040500,36047040500,36047040500
666 E 224TH STREET,005,2,394,039400,36005039400,36005039400
502 W 122ND STREET,061,1,203,020300,36061020300,36061020300
53 CHESTER STREET,047,3,924,092400,36047092400,36047092400
778 UNION AVENUE,005,2,79,007900,36005007900,36005007900
3031 HOLLAND AVENUE,005,2,338,033800,36005033800,NA
4100 43RD AVENUE,081,4,NA,018102,36081018102,NA
327 BEEKMAN AVENUE,005,2,33,003300,36005003300,36005003300
1090 EAST 165TH ST,005,2,119,011900,36005011900,36005011900
850 ST MARKS AVENUE APT 6B,047,3,341,034100,36047034100,36047034100
364 HANCOCK STREET,047,3,267,026700,36047026700,36047026700
3420 AVENUE H,047,3,776,077600,36047077600,36047077600
207 E 27TH STREET,061,1,66,006600,36061006600,36061006600
2104 AMSTERDAM AVE,061,1,24301,024301,36061024301,NA
880 BOYNTON AVENUE,005,2,28,002800,36005002800,36005002800
53 HAMILTON TERRACE,061,1,227,022700,36061022700,36061022700
99 LAFAYETTE AVENUE A/K/A 9399 LAFAYETT,047,3,181,018100,36047018100,36047018100
3285 WESTCHESTER AVESTORE #1,005,2,NA,030000,36005030000,NA
1475 TAYLOR AVE,005,2,218,021800,36005021800,36005021800
1370 ST NICHOLAS AVE,061,1,261,026100,36061026100,36061026100
2128 VALENTINE AVE,005,2,379,037900,36005037900,36005037900
3928 CARPENTER AVENUE,005,2,394,039400,36005039400,36005039400
155165 E MOSHOLU PKWY N,NA,2,419,NA,36005041900,36005041900
1335 MORRIS AVENUE 1ST FL APT ALL COMMON AREAS AND ROOM 4,005,2,NA,017902,36005017902,NA
83 KINGSTON AVENUE,047,3,311,031100,36047031100,36047031100
528 WEST 151ST STREET,061,1,237,023700,36061023700,36061023700
115 HAMILTON PLACE A /K/A 1658 AMSTERSAM,061,1,229,022900,36061022900,36061022900
760 ELDERT LANE,047,3,1208,120800,36047120800,NA
10318 ROOSEVELT AVE,081,4,405,040500,36081040500,NA
3572 DEKALB AVENUE,005,2,431,043100,36005043100,NA
2281 UNIVERSITY AVENUE,005,2,255,025500,36005025500,36005025500
10031 4TH AVENUE,047,3,162,016200,36047016200,36047016200
2105 RYER AVENUE,005,2,381,038100,36005038100,36005038100
14210 HOOVER AVENUE,081,4,22002,022002,36081022002,NA
1345 SOUTHERN BLVD,005,2,123,012300,36005012300,36005012300
6054 71 STREET BASEMENT/ CELLARENTIRE,081,4,NA,066701,36081066701,NA
4327 GRACE AVENUE UNIT 2SECOND FLOOR,005,2,NA,043600,36005043600,NA
500 W 190TH ST AKA 2608 AMSTERDAM AVE,061,1,277,027700,36061027700,36061027700
51 COURSEN PLACE,085,5,29,002900,36085002900,36085002900
2373 WALTON AVENUE,005,2,239,023900,36005023900,36005023900
196 THROOP AVENUE,047,3,25902,025902,36047025902,NA
836 EAST 147TH ST,005,2,31,003100,36005003100,36005003100
180 GRAFTON STREET,047,3,894,089400,36047089400,36047089400
3246 KINGSBRIDGE AVENUE,005,2,287,028700,36005028700,36005028700
507509 WEST 171ST ST,NA,1,253,NA,36061025300,36061025300
16411 108TH AVENUE,081,4,254,025400,36081025400,NA
261 BUFFALO AVENUE,047,3,359,035900,36047035900,36047035900
8420 AUSTIN STREET,081,4,136,013600,36081013600,36081013600
730 LINDEN BLVD,047,3,868,086800,36047086800,36047086800
15815 NORTH CONDUIT AVE,081,4,294,029400,36081029400,36081029400
1185 LEBANON STREET,005,2,220,022000,36005022000,36005022000
13241 220TH STREET,081,4,626,062600,36081062600,36081062600
1274 78TH STREET,047,3,200,020000,36047020000,36047020000
780 ST ANNS AVENUE,005,2,75,007500,36005007500,36005007500
8804 WOODHAVEN BLVD,081,4,18,001800,36081001800,36081001800
4726 PARK AVENUE,005,2,385,038500,36005038500,36005038500
3602 CLARENDON ROAD A/K/A 1221 BROOKLYN,047,3,832,083200,36047083200,36047083200
379 NOSTRAND AVENUE,047,3,249,024900,36047024900,36047024900
201 W148TH STREET,061,1,234,023400,36061023400,36061023400
35 MESEROLE STREET,047,3,511,051100,36047051100,36047051100
73 HILL STREET 2ND FLOOR APT,047,3,NA,119000,36047119000,NA
304 GIFFORDS LANE 4 ROOMS PLUS BATH,085,5,NA,014608,36085014608,NA
1111 OCEAN AVENUE,047,3,766,076600,36047076600,36047076600
3214 97TH STREET,081,4,361,036100,36081036100,36081036100
1901 LORING PLACE SOUTH,005,2,24502,024502,36005024502,NA
5721 16TH AVENUE,047,3,NA,047000,36047047000,NA
1749 GRAND CONCOURSE,005,2,22701,022701,36005022701,NA
9016 DITMAS AVENUE,047,3,960,096000,36047096000,36047096000
1781 E92 STREET,047,3,1028,102800,36047102800,NA
11537 143RD ST ENTIRE HOUSE,081,4,NA,018800,36081018800,NA
10714 LIVERPOOL STREET,081,4,198,019800,36081019800,36081019800
150 EAST 19TH STREET,047,3,512,051200,36047051200,36047051200
41 LOTT AVENUE,047,3,896,089600,36047089600,36047089600
1030 BOYNTON AVE,005,2,5001,005001,36005005001,NA
3556 HOLLAND AVENUE,005,2,380,038000,36005038000,36005038000
3114 VILLA AVENUE,005,2,411,041100,36005041100,36005041100
60 BROAD STREET,061,1,9,000900,36061000900,36061000900
939 EIGHTH AVENUE SUITE 406,061,1,139,013900,36061013900,36061013900
279 EAST 92ND STREET OFFICE,047,3,NA,088200,36047088200,NA
65 EAST 193RD ST,005,2,401,040100,36005040100,36005040100
1377 CLAY AVENUE,005,2,17702,017702,36005017702,NA
954 E 95TH STREET ONE ROOM,047,3,NA,097000,36047097000,NA
8750 KINGSTON PLACE,081,4,458,045800,36081045800,36081045800
58 MOTHER GASTON BOU LEVARD,047,3,NA,036900,36047036900,NA
333 BEACH 32ND ST,081,4,992,099200,36081099200,36081099200
253 EAST 142ND ST,005,2,51,005100,36005005100,36005005100
3556 ROCHAMBEAU AVENUE,005,2,431,043100,36005043100,NA
318 WEST 51ST STREET ROOM 353,061,1,133,013300,36061013300,36061013300
1430 CENTRAL AVENUE 1ST FLOOR,081,4,NA,103202,36081103202,NA
2323 CROTONA AVENUE,005,2,391,039100,36005039100,36005039100
7101 BAY PARKWAY,047,3,430,043000,36047043000,36047043000
1711 MORRIS AVENUE,005,2,22703,022703,36005022703,NA
305 WEST 45TH STREET,061,1,121,012100,36061012100,NA
8704 AVON STREET,NA,4,466,NA,36081046600,36081046600
1685 TOPPING AVENUE,005,2,22902,022902,36005022902,NA
282 EAST GUN HILL ROAD,005,2,423,042300,36005042300,36005042300
1505 GRAND CONCOURSE,005,2,209,020900,36005020900,36005020900
220 WEST 149TH ST,061,1,234,023400,36061023400,36061023400
1526 PACIFIC STREET,047,3,311,031100,36047031100,36047031100
2011 OCEAN AVENUE,047,3,546,054600,36047054600,36047054600
3940 BRONX BLVD,005,2,394,039400,36005039400,36005039400
13415 LIBERTY APT#FLOOR 2,NA,4,NA,NA,NA,NA
912 EAST 178TH ST,005,2,363,036300,36005036300,36005036300
3525 BAINBRIDGE AVENUE,005,2,431,043100,36005043100,NA
1314 MERRIAM AVE,005,2,201,020100,36005020100,36005020100
3403 FOSTER AVENUE,047,3,830,083000,36047083000,36047083000
1868 MATTHEWS AVENUE,005,2,232,023200,36005023200,36005023200
141 BEACH 56TH PLACE,081,4,97202,097202,36081097202,NA
680 TINTON AVENUE,005,2,79,007900,36005007900,36005007900
1280 OCEAN AVENUE,047,3,764,076400,36047076400,36047076400
3110 WILKINSON AVENUE,005,2,300,030000,36005030000,36005030000
780 GARDEN STREET,005,2,393,039300,36005039300,36005039300
53 EAST 131ST STREET,061,1,206,020600,36061020600,36061020600
8944 162ND STREET,081,4,44601,044601,36081044601,NA
162 COZINE AVENUE,047,3,1104,110400,36047110400,36047110400
2395 GRAND AVENUE,005,2,253,025300,36005025300,36005025300
621 MANIDA STREET,005,2,93,009300,36005009300,NA
11 MCKEEVER PLACE,047,3,NA,032500,36047032500,NA
2120 WALLACE AVENUE,005,2,228,022800,36005022800,36005022800
2333 WEBSTER AVENUE,005,2,38302,038302,36005038302,NA
85 HOLLAND AVENUE,085,5,31902,031902,36085031902,NA
108116 WEST 141ST ST,NA,1,230,NA,36061023000,36061023000
1666 BELL BLVD,081,4,99704,099704,36081099704,NA
2440 EAST 29TH ST,047,3,59402,059402,36047059402,NA
560 WEST 192ND ST,061,1,277,027700,36061027700,36061027700
1169 OCEAN AVENUE,047,3,766,076600,36047076600,36047076600
20A FRANKLIN LANE DOWNSTAIRS APT,085,5,NA,027900,36085027900,NA
250 EAST 96TH STREET,047,3,884,088400,36047088400,36047088400
4150C BOSTON ROAD,005,2,46202,046202,36005046202,NA
42 WEST 38TH STREET SUITE 311,061,1,84,008400,36061008400,36061008400
1023 RUTLAND ROAD,047,3,NA,088400,36047088400,NA
1982 THIRD AVENUE RETAIL SPACE AND THE TENANT USABLSPACE DIRECTLY BELOW,061,1,NA,017200,36061017200,NA
2115 RYER AVENUE,005,2,381,038100,36005038100,36005038100
2343 ARTHUR AVENUE,005,2,391,039100,36005039100,36005039100
3502 HULL AVE,005,2,431,043100,36005043100,NA
2940 GRAND CONCOURSE,005,2,40702,040702,36005040702,NA
645 OCEAN AVENUE,047,3,51001,051001,36047051001,NA
22413 UNION TURNPIK MARSHAL ARTS CENTER,NA,4,NA,NA,NA,NA
669 EAST 31 STREET,047,3,786,078600,36047078600,NA
248 STEPHEN AVENUE,005,2,NA,000400,36005000400,NA
2000 DAVIDSON AVENUE,005,2,243,024300,36005024300,36005024300
103 POST AVENUE,061,1,293,029300,36061029300,36061029300
7920 147TH STREET,081,4,77904,077904,36081077904,NA
2334 WEBSTER AVE,005,2,38302,038302,36005038302,NA
12115 BROOKVILLE BOULEVARD,081,4,61602,061602,36081061602,NA
1224 COMMONWEALTH AVE,005,2,70,007000,36005007000,36005007000
63 AVENUE W,047,3,382,038200,36047038200,36047038200
